#{"t_start": 1778606156.4309518, "env_id": "None"}
r,l,t
-1.001,700,1.242942
-1.0005,665,2.136631
-1.0002,666,2.982294
-1.0012,760,3.975543
-0.7765,840,5.096278
-0.5401,840,6.151473
-0.5076,840,7.160694
-0.5888,840,8.11992
-0.3999,840,9.086131
-0.4059,840,10.081356
-0.5524,840,11.187102
-0.3971,840,12.488852
-0.4176,840,19.371861
-0.3741,840,20.362079
-0.1691,840,21.337303
-0.2685,840,22.37509
-0.3298,840,23.468858
-0.134,840,24.579565
-0.4153,840,25.720794
-0.1521,840,26.708972
-0.1607,840,27.7242
-0.111,840,28.715405
-0.1699,840,29.731635
-0.2629,840,30.788385
-0.0543,840,45.705485
-0.0098,840,47.954993
-0.0194,840,50.278596
-0.0784,840,52.556348
-0.09,840,54.908392
-0.0509,840,57.09058
-0.0161,840,59.459571
-0.0119,840,61.83158
0.0162,840,64.324911
-0.0389,840,66.566137
-0.0307,840,68.873578
-0.0368,840,71.417109
0.0318,840,86.113857
0.0016,840,88.420393
-0.0136,840,90.736753
-0.0567,840,93.361706
-0.0138,840,95.533953
-0.086,840,98.237351
-0.0197,840,100.420578
-0.031,840,102.82417
0.0445,840,105.250336
-0.0801,840,107.574013
-0.0311,840,110.251017
0.0035,840,112.386101
-0.0445,840,127.112073
0.01,840,129.543705
-0.0125,840,131.829485
0.0338,840,134.285097
0.0103,840,136.330693
0.0037,840,138.746896
-0.0726,840,140.910409
-0.0529,840,143.204864
0.0005,840,145.539588
0.0006,840,148.113002
0.021,840,150.343657
0.0241,840,152.698491
0.0264,840,167.981395
0.021,840,170.240441
-0.0316,840,172.577482
-0.0801,840,174.787534
-0.016,840,177.150972
-0.021,840,179.472636
0.0238,840,181.917521
0.0442,840,184.340334
0.0315,840,186.888924
0.0064,840,188.826758
0.0238,840,191.379707
-0.0108,840,193.490713
-0.0476,840,208.333567
0.0079,840,210.622657
0.0171,840,212.798513
-0.0779,840,215.187377
0.0203,840,217.659224
-0.0028,840,220.214383
0.0109,840,222.596214
0.0197,840,224.729175
-0.0795,840,227.080239
0.0041,840,229.401563
-0.0008,840,231.831731
0.0063,840,233.850021
-0.0169,840,249.14636
-0.0393,840,251.664144
-0.0736,840,253.879541
-0.0232,840,256.144032
0.0117,840,258.65036
-0.0732,840,261.285687
0.0041,840,263.367989
0.0068,840,266.003465
-0.0245,840,268.502431
0.0137,840,270.636552
0.0282,840,273.195647
-0.0451,840,287.912684
-0.0588,840,289.954297
0.0241,840,292.515483
-0.0266,840,294.892282
-0.0308,840,297.107725
0.0063,840,299.420175
0.0099,840,301.691104
0.0068,840,304.202363
-0.0353,840,306.375049
0.0238,840,308.808298
-0.0093,840,311.019075
0.01,840,313.220204
0.005,840,328.18975
0.0064,840,330.266567
-0.0062,840,332.857832
0.0179,840,335.19273
0.01,840,337.465239
-0.0093,840,339.956607
-0.0041,840,342.118861
0.0048,840,344.46276
-0.0259,840,346.605633
-0.0026,840,348.853548
-0.0166,840,350.705201
-0.053,840,352.718496
-0.0161,840,366.559768
-0.0349,840,369.019681
0.0082,840,371.415143
-0.0097,840,373.586677
0.0064,840,375.974493
0.003,840,378.438289
0.0071,840,380.716657
0.0315,840,383.171905
0.0225,840,385.258521
0.0425,840,388.042885
0.0125,840,390.450714
-0.0025,840,392.755572
-0.0097,840,407.690411
0.0334,840,409.818399
-0.0454,840,412.190266
-0.0272,840,414.445728
-0.0083,840,417.804919
-0.021,840,420.292471
-0.0271,840,422.683094
-0.0227,840,425.17718
-0.0267,840,427.593178
0.0213,840,430.124155
0.0113,840,432.356846
0.0168,840,434.930095
-0.0346,840,449.848384
-0.0056,840,452.191002
-0.0154,840,454.585569
-0.0026,840,456.943799
-0.0112,840,459.39492
-0.017,840,461.70289
-0.0032,840,464.274436
-0.0227,840,466.770982
-0.0009,840,469.215743
0.0006,840,471.577789
0.0131,840,473.838528
-0.0415,840,476.149772
0.005,840,491.187835
-0.0585,840,493.525344
-0.0212,840,495.838679
0.0246,840,498.280168
0.005,840,500.410863
-0.0124,840,502.67713
0.005,840,504.591454
-0.0346,840,505.832682
-0.0346,840,507.180494
-0.0102,840,508.426297
-0.0045,840,509.96698
0.0193,840,512.424182
0.0268,840,529.688397
-0.0051,840,531.94298
-0.0124,840,534.317744
-0.0077,840,536.798522
0.0334,840,539.076087
-0.0132,840,541.522343
-0.0457,840,544.116498
-0.0014,840,546.585739
-0.0476,840,548.90255
-0.0677,840,551.410738
-0.0174,840,554.040962
-0.0187,840,556.409864
0.0128,840,570.844953
-0.0795,840,573.531342
0.0006,840,575.769895
-0.0338,840,577.984608
-0.0054,840,580.173531
-0.0362,840,582.798505
0.0194,840,585.055751
-0.007,840,587.368537
-0.0053,840,589.904014
-0.0588,840,592.279218
-0.0208,840,594.910277
0.0241,840,597.133074
0.0043,840,612.234401
0.0372,840,614.767623
-0.0175,840,616.975548
0.0167,840,619.514945
0.0082,840,621.84978
0.0191,840,624.006275
0.0045,840,626.547275
0.0191,840,629.209435
0.0167,840,631.561745
-0.0124,840,633.143652
-0.0395,840,634.576473
-0.0242,840,635.886213
-0.0449,840,643.556213
-0.0035,840,644.617103
-0.0303,840,645.736288
-0.0057,840,646.820481
-0.0801,840,647.945697
-0.0235,840,649.000897
-0.0137,840,650.143134
-0.0235,840,651.197918
-0.0677,840,652.367153
0.0023,840,653.470962
-0.0325,840,654.467724
-0.0143,840,660.872905
-0.0336,840,661.831094
0.0315,840,662.830347
-0.0825,840,663.927547
-0.0051,840,664.951259
-0.0187,840,666.020433
-0.0585,840,667.070654
-0.0321,840,668.127878
-0.0034,840,669.183617
0.0027,840,670.187812
-0.0457,840,671.162033
-0.0223,840,672.164255
0.0195,840,678.492676
0.0017,840,679.479899
-0.0083,840,680.543618
0.0058,840,681.716383
0.0402,840,682.873442
0.0002,840,683.917642
0.0087,840,684.953375
-0.0154,840,685.996334
-0.0093,840,687.11209
-0.0677,840,688.213811
-0.0114,840,689.5255
-0.0344,840,690.614192
