#{"t_start": 1778607943.3675442, "env_id": "None"}
r,l,t
-0.0206,840,323.791899
-0.0545,840,325.395203
-0.0272,840,325.932761
-0.0328,840,327.353993
-0.0607,840,327.861588
-0.015,840,328.390691
-0.015,840,330.035798
-0.0563,840,330.503378
0.0123,840,332.147704
-0.1507,840,332.778856
-0.0723,840,334.661453
-0.037,840,335.364086
-0.0713,840,342.094356
-0.0216,840,343.57361
-0.0397,840,344.088718
-0.1213,840,345.81761
-0.1277,840,346.326217
-0.1366,840,346.825804
-0.0296,840,348.484644
-0.0292,840,349.036736
-0.0933,840,350.770523
-0.0148,840,351.286653
-0.0205,840,351.913922
-0.05,840,353.392709
-0.0735,840,360.847044
