#{"t_start": 1778607943.3675442, "env_id": "None"}
r,l,t
-1.0006,676,0.502584
-1.0033,618,0.958171
-1.0016,609,1.414744
-1.0029,605,2.964508
-1.0007,571,3.403584
-1.0002,593,3.863687
-1.0008,665,5.513035
-1.0006,648,5.942416
-1.0014,731,6.750734
-1.0014,745,8.678607
-1.0012,608,9.262731
-1.0018,752,9.986373
-1.0034,663,12.0883
-1.0014,746,12.590911
-1.0001,658,13.014982
-1.0017,742,21.309663
-1.0019,750,21.737259
-0.9652,840,22.4104
-0.9959,840,23.856191
-0.973,840,24.323788
-1.0023,838,25.808065
-0.9392,840,26.310632
-0.7504,840,27.645928
-1.0029,642,28.026011
-0.8563,840,28.530634
-0.8562,840,29.878395
-0.764,840,30.342016
-0.6745,840,37.731113
-0.7245,840,39.409446
-0.6256,840,39.963562
-0.5816,840,41.469397
-0.5262,840,42.152025
-0.52,840,43.957387
-0.5942,840,44.621522
-0.5697,840,45.202602
-0.4107,840,46.749175
-0.3762,840,47.289291
-0.4576,840,48.892611
-0.3291,840,49.484755
-0.2515,840,56.621362
-0.2532,840,58.467123
-0.2325,840,58.968711
-0.2688,840,60.552011
-0.1671,840,61.052609
-0.2338,840,61.519686
-0.2201,840,62.916974
-0.1779,840,63.40959
-0.1665,840,65.031448
-0.1535,840,65.658559
-0.1158,840,66.321694
-0.1335,840,67.965515
-0.0736,840,75.025929
-0.0934,840,76.662732
-0.0652,840,77.205325
-0.1201,840,78.692062
-0.1936,840,79.187646
-0.0848,840,79.729292
-0.0545,840,81.314571
-0.1643,840,81.846694
-0.0755,840,83.209422
-0.0956,840,83.701008
-0.1875,840,84.173614
-0.1042,840,85.585767
-0.2274,840,91.288976
-0.0338,840,92.760795
-0.1064,840,93.273369
-0.1324,840,93.828999
-0.1538,840,95.548044
-0.0887,840,96.167181
-0.0581,840,97.907016
-0.0476,840,98.720198
-0.0295,840,100.985263
0.0195,840,101.61837
-0.0825,840,102.490069
-0.0347,840,104.18992
-0.0529,840,110.87829
-0.1611,840,112.609111
-0.0232,840,113.359293
-0.0312,840,113.959394
-0.0577,840,115.398669
-0.048,840,115.873286
-0.0396,840,117.32252
-0.045,840,117.793113
-0.1065,840,118.259726
-0.0208,840,119.612493
-0.0682,840,120.070098
-0.052,840,121.353873
-0.0396,840,127.743208
-0.0369,840,128.313838
-0.0037,840,129.746564
-0.0192,840,130.366682
-0.0831,840,131.887461
-0.0086,840,132.392059
-0.017,840,134.097544
-0.049,840,134.72765
-0.0482,840,135.328787
0.0283,840,137.127189
-0.0551,840,137.835833
-0.024,840,145.344852
-0.0098,840,145.92597
-0.0399,840,146.469105
0.0048,840,148.084378
-0.0727,840,148.58199
-0.0919,840,150.449871
-0.0569,840,151.039461
-0.0163,840,151.604581
-0.0479,840,153.021848
-0.0203,840,153.481449
-0.0356,840,154.950736
-0.0141,840,155.463338
-0.0528,840,162.584276
-0.0404,840,163.07391
-0.0353,840,163.596518
-0.0228,840,165.153894
-0.0211,840,165.660523
-0.0134,840,167.267372
-0.0149,840,167.759479
-0.0133,840,168.333117
-0.0026,840,169.999943
-0.0301,840,170.479481
-0.0251,840,171.920785
-0.0507,840,172.421374
-0.0316,840,178.244614
-0.0451,840,179.862638
-0.0288,840,180.565546
-0.0163,840,182.375943
-0.0773,840,183.02706
-0.0722,840,183.685719
-0.0941,840,185.661141
-0.081,840,186.426766
-0.0112,840,188.157114
-0.0337,840,188.729733
-0.0935,840,190.459954
-0.0615,840,190.979556
-0.1764,840,198.969021
-0.0738,840,200.407297
-0.0144,840,200.898893
-0.0738,840,202.275175
-0.052,840,202.780764
-0.0635,840,203.298364
-0.0812,840,204.750652
-0.0314,840,205.267758
-0.0428,840,206.809524
-0.0573,840,207.333126
-0.1191,840,207.813734
-0.0134,840,209.159009
0.034,840,214.977196
-0.0244,840,216.381522
-0.0892,840,216.980665
-0.0172,840,218.843038
-0.1114,840,219.505703
-0.0579,840,220.119861
-0.0241,840,221.782689
-0.0342,840,222.273297
-0.0153,840,223.746515
-0.013,840,224.252121
-0.0314,840,224.885769
-0.0378,840,226.366555
-0.0292,840,232.837387
-0.0737,840,234.378716
-0.0649,840,234.993852
-0.0233,840,235.505462
0.0042,840,237.164303
-0.0058,840,237.660385
-0.0134,840,239.162139
-0.0047,840,239.645721
-0.0831,840,240.158305
-0.0125,840,242.29273
0.0049,840,243.056396
-0.066,840,244.833271
0.0036,840,251.82057
-0.0646,840,254.005326
-0.0726,840,254.810512
-0.0965,840,255.502173
-0.0451,840,257.357253
-0.0168,840,257.977867
-0.0199,840,259.580169
-0.0204,840,260.115741
-0.0447,840,260.633336
-0.0581,840,262.191659
-0.0532,840,263.089381
-0.047,840,264.746686
-0.0179,840,271.964187
-0.0129,840,272.490132
0.0008,840,273.930417
-0.0581,840,274.432009
-0.0428,840,276.105868
-0.0035,840,276.602479
-0.0059,840,278.51935
-0.1132,840,279.144464
-0.0187,840,279.8041
0.0052,840,281.641435
-0.0056,840,282.167013
-0.0424,840,283.627788
-0.1147,840,289.985658
-0.0256,840,290.498251
-0.0485,840,292.010057
-0.0758,840,292.507642
-0.0789,840,293.91273
-0.1346,840,294.357816
-0.045,840,294.815406
-0.1206,840,296.238674
-0.0618,840,296.733271
-0.0407,840,298.046034
-0.047,840,298.513664
-0.0647,840,299.075268
-0.0864,840,305.954187
-0.0868,840,306.446796
-0.0381,840,307.995077
-0.0479,840,308.601207
-0.0089,840,310.449616
-0.0248,840,311.327322
-0.0464,840,311.910457
-0.0983,840,313.939842
-0.052,840,314.764027
-0.08,840,316.449899
-0.0839,840,317.198103
