step,episode,ep_return,ep_length,epsilon,avg_loss,buffer_size,learn_steps,wall_time_s
1000,1,-0.5576000000000008,341,0.981,0.007428484503179789,1000,1,0.03451347351074219
2000,3,-0.09509999999999641,72,0.962,0.0029807226372649894,2000,1001,1.7353515625
3000,4,-0.6480000000000337,400,0.9430000000000001,0.00013581521972082556,3000,2001,3.477250099182129
4000,6,-0.1298,95,0.924,8.751841097546275e-05,4000,3001,5.656697511672974
5000,7,-0.5690000000000145,424,0.905,6.829875233961502e-05,5000,4001,10.060738325119019
6000,9,-0.12800000000000228,92,0.886,5.87088863740064e-05,6000,5001,12.346680402755737
7000,10,-0.6640999999999997,423,0.867,5.336682979941543e-05,7000,6001,14.540659666061401
8000,12,-0.13409999999999456,87,0.848,4.692889616671891e-05,8000,7001,16.602041244506836
9000,13,-0.7459999999999883,467,0.829,3.62051369756955e-05,9000,8001,18.918092012405396
10000,15,-0.24409999999998266,153,0.81,3.4844352287109356e-05,10000,9001,20.71842360496521
11000,16,-0.7238999999999882,488,0.791,3.0424286645029495e-05,11000,10001,24.375600814819336
12000,18,-0.17079999999999873,96,0.772,2.564402713414893e-05,12000,11001,26.097440481185913
13000,19,-0.6078000000000007,396,0.753,2.1992730979945917e-05,13000,12001,27.98513436317444
14000,20,-0.9110999999999965,677,0.734,2.3977570759598165e-05,14000,13001,29.7295401096344
15000,22,-0.24410000000000068,198,0.7150000000000001,1.9425634119215827e-05,15000,14001,31.384905576705933
16000,23,-0.5893000000000133,456,0.696,1.964336679475309e-05,16000,15001,33.034820318222046
17000,24,-0.8277000000000342,690,0.677,2.067722582614806e-05,17000,16001,35.79749083518982
18000,26,-0.13399999999999038,96,0.658,2.0962059413250246e-05,18000,17001,37.936914920806885
19000,27,-0.30770000000000075,274,0.639,1.872230645676609e-05,19000,18001,40.23684549331665
20000,28,-0.5422999999999848,434,0.62,1.6970828698504192e-05,20000,19001,43.67162251472473
21000,29,-0.6694000000000221,594,0.601,1.5094897098606453e-05,21000,20001,54.504899978637695
22000,30,-0.8501000000000251,754,0.5820000000000001,1.5130924412005697e-05,22000,21001,60.00176024436951
23000,32,-0.06980000000000036,74,0.563,1.1818546898666683e-05,23000,22001,65.5481743812561
24000,33,-0.3216000000000132,243,0.544,1.2551301775147295e-05,24000,23001,70.85704374313354
25000,34,-0.5053999999999992,484,0.525,1.9579016208354005e-05,25000,24001,76.7061448097229
26000,35,-0.6098999999999799,644,0.506,1.416617083032179e-05,26000,25001,82.60105848312378
27000,36,-0.8463000000000088,804,0.487,1.1472093007341755e-05,27000,26001,88.28431487083435
28000,38,-0.10760000000000672,124,0.46799999999999997,1.0221661396371928e-05,28000,27001,93.85056734085083
29000,39,-0.310599999999992,284,0.44900000000000007,1.0445611098703012e-05,29000,28001,99.44784617424011
30000,40,-0.484299999999996,444,0.43000000000000005,1.0147721860448655e-05,30000,29001,105.08290481567383
31000,41,-0.47720000000001095,604,0.41100000000000003,8.219212380026875e-06,31000,30001,117.56190299987793
32000,42,-0.5709999999999867,764,0.392,8.411842553869064e-06,32000,31001,123.61425375938416
33000,44,-0.0868999999999977,84,0.373,8.019320157018229e-06,33000,32001,129.2290358543396
34000,45,-0.19380000000000225,244,0.354,8.55834924186638e-06,34000,33001,135.09924125671387
35000,46,-0.2632000000000198,404,0.3350000000000001,7.562022064803386e-06,35000,34001,141.22965574264526
36000,47,-0.4369000000000094,564,0.31600000000000006,8.356864181678248e-06,36000,35001,146.61497688293457
37000,48,-0.5645999999999897,724,0.29700000000000004,8.776217038303003e-06,37000,36001,152.55490517616272
38000,50,-0.02260000000000062,44,0.278,7.523658178570258e-06,38000,37001,158.34953212738037
39000,51,-0.1052999999999974,204,0.259,5.949608069840906e-06,39000,38001,164.30769848823547
