step,episode,ep_return,ep_length,epsilon,avg_loss,buffer_size,learn_steps,wall_time_s
1000,1,-0.5468999999999998,335,0.981,0.024371230974793434,1000,1,0.11156606674194336
2000,3,-0.06520000000000338,51,0.962,0.0069334712212439625,2000,1001,4.394496202468872
3000,4,-0.5016999999999889,333,0.9430000000000001,0.0003462124361540191,3000,2001,9.595434665679932
4000,6,-0.052900000000001196,38,0.924,8.11580739209603e-05,4000,3001,14.832610845565796
5000,7,-0.660200000000001,406,0.905,6.249410639975395e-05,5000,4001,20.71278738975525
6000,9,-0.201200000000012,125,0.886,4.803673852438806e-05,6000,5001,25.89211082458496
7000,10,-0.663800000000005,474,0.867,5.263642827048898e-05,7000,6001,31.20221757888794
8000,12,-0.13310000000000008,85,0.848,4.67881307395146e-05,8000,7001,36.13243770599365
9000,13,-0.5719999999999936,447,0.829,4.0678986837519917e-05,9000,8001,40.48837614059448
10000,14,-0.875899999999995,674,0.81,3.9052748707035787e-05,10000,9001,44.60385274887085
11000,16,-0.16250000000000517,122,0.791,3.343898225011799e-05,11000,10001,51.3197762966156
12000,17,-0.6328000000000177,450,0.772,2.906420944236743e-05,12000,11001,53.30142021179199
13000,19,-0.0823,77,0.753,2.7959728910900593e-05,13000,12001,55.19380807876587
14000,20,-0.5806999999999936,385,0.734,2.8919817114910984e-05,14000,13001,57.19221305847168
15000,21,-0.9362000000000266,714,0.7150000000000001,2.296321623362019e-05,15000,14001,59.72512173652649
16000,23,-0.4155000000000156,298,0.696,2.31710384341568e-05,16000,15001,61.79100298881531
17000,24,-0.6776000000000134,531,0.677,1.814706342474892e-05,17000,16001,63.89287447929382
18000,25,-0.8468000000000232,747,0.658,2.2954456947900326e-05,18000,17001,66.02491736412048
19000,27,-0.25250000000001527,181,0.639,2.0918193763009186e-05,19000,18001,68.26189827919006
20000,28,-0.5900999999999742,413,0.62,2.1240034078800816e-05,20000,19001,70.11625599861145
21000,29,-0.862799999999989,693,0.601,1.815584327550823e-05,21000,20001,73.93493676185608
22000,31,-0.0932999999999955,51,0.5820000000000001,1.9475512629924196e-05,22000,21001,75.87392544746399
23000,32,-0.2679999999999887,242,0.563,1.8195243315858534e-05,23000,22001,77.70834827423096
24000,33,-0.406500000000002,402,0.544,1.8681806124277502e-05,24000,23001,79.62020611763
