number,value,params_batch_size,params_eps_decay_steps,params_gamma,params_lr,params_min_buffer_to_learn,params_target_update_freq,user_attrs_exposure_time,user_attrs_final_equity,user_attrs_max_drawdown_pct,user_attrs_n_trades,user_attrs_run_id,user_attrs_total_return,user_attrs_total_transaction_cost,user_attrs_win_rate,state,datetime_start,datetime_complete
0,-96.58393494533537,256,150000,0.9941207163345817,0.0001025350969016849,12500,3000,0.8133333333333334,-115314.99999999965,-51.866784296427014,5211,optuna_ddqn_t000,-12.531499999999966,125362.0,0.0508280982295831,COMPLETE,2026-05-13 08:52:04.122852,2026-05-13 08:53:46.583604
1,-47.800457832106986,256,195000,0.9020378649352845,0.000814829321010529,10500,4200,0.7257738095238095,-39206.0000000005,-8.351584474029664,2407,optuna_ddqn_t001,-4.92060000000005,48349.0,0.11258278145695365,COMPLETE,2026-05-13 08:53:46.598627,2026-05-13 08:55:34.771233
2,-27.706156057511038,256,125000,0.9288316848796062,0.0001464895513280072,4000,700,0.9379166666666666,-26274.999999999967,-6.390849405005765,1649,optuna_ddqn_t002,-3.6274999999999973,37588.0,0.1640112464854733,COMPLETE,2026-05-13 08:55:34.783226,2026-05-13 08:57:32.625026
3,-51.06579589517495,256,15000,0.9586490423173422,0.0002442886696734996,16500,3100,0.6079166666666667,-40718.00000000049,-8.250356125356252,2500,optuna_ddqn_t003,-5.0718000000000485,47746.0,0.08721359940872137,COMPLETE,2026-05-13 08:57:32.636043,2026-05-13 08:59:10.351137
4,-78.75923902078314,256,140000,0.9096695392866321,6.639623079859457e-05,5500,2300,0.9497023809523809,-87462.00000000033,-36.611563517919144,3409,optuna_ddqn_t004,-9.746200000000034,100426.0,0.0887384176764077,COMPLETE,2026-05-13 08:59:10.363135,2026-05-13 09:01:07.704865
5,-29.192456569562673,64,110000,0.9308593965328517,0.0006139426050898153,18000,2800,0.9035714285714286,-1097.0000000002788,-1.12679149329638,566,optuna_ddqn_t005,-1.1097000000000279,10455.0,0.2651006711409396,COMPLETE,2026-05-13 09:01:07.716889,2026-05-13 09:02:24.631306
6,-26.41694320972359,128,25000,0.9912655492672886,0.00041087915453240814,17000,1000,0.12607142857142858,-17419.00000000015,-3.734536891679771,1406,optuna_ddqn_t006,-2.741900000000015,28163.0,0.07777777777777778,COMPLETE,2026-05-13 09:02:24.642337,2026-05-13 09:03:54.770504
7,-54.368738864353126,128,115000,0.9278125164590507,9.180504074572426e-05,4000,800,0.9047619047619048,-60187.99999999919,-16.299440772750124,2830,optuna_ddqn_t007,-7.018799999999919,70078.0,0.08702368692070031,COMPLETE,2026-05-13 09:03:54.782501,2026-05-13 09:05:42.543393
8,-132.37890283046758,32,145000,0.9807306814170286,1.0349134435467584e-05,17500,3700,0.7919642857142857,-142703.00000000055,-124.87413194442657,6357,optuna_ddqn_t008,-15.270300000000056,154155.0,0.05336426914153132,COMPLETE,2026-05-13 09:05:42.555400,2026-05-13 09:06:52.384091
9,-20.049932527708453,256,20000,0.9327589044604123,0.0004811305657362584,9500,1600,0.32107142857142856,-2488.999999999939,-1.3128063340454894,715,optuna_ddqn_t009,-1.248899999999994,14654.0,0.2375296912114014,COMPLETE,2026-05-13 09:06:52.407073,2026-05-13 09:08:51.142024
10,-3.6418618720013036,64,55000,0.9584818171419982,0.003837408662166951,8000,1800,5.9523809523809524e-05,9988.000000000011,-0.0011999999999989085,2,optuna_ddqn_t010,-0.0011999999999989085,34.0,0.0,COMPLETE,2026-05-13 09:08:51.155011,2026-05-13 09:10:34.326992
11,3.6418618720013045,64,60000,0.9562436584229151,0.004491635087462903,7500,1700,0.0004166666666666667,10094.99999999998,0.0,4,optuna_ddqn_t011,0.009499999999998,68.0,0.5,COMPLETE,2026-05-13 09:10:34.458505,2026-05-13 09:12:17.792415
12,0.0,64,60000,0.9622667851123305,0.004249487362798124,500,1900,0.0,10000.0,0.0,0,optuna_ddqn_t012,0.0,0.0,0.0,COMPLETE,2026-05-13 09:12:17.803403,2026-05-13 09:14:19.063763
13,0.0,64,70000,0.9699420700174053,0.003715286916737979,2000,200,0.0,10000.0,0.0,0,optuna_ddqn_t013,0.0,0.0,0.0,COMPLETE,2026-05-13 09:14:19.075763,2026-05-13 09:16:23.793719
14,-13.04039765778937,64,75000,0.9469539855838885,0.0015418219850453622,500,5000,0.988452380952381,4333.000000000179,-0.6089380196522913,287,optuna_ddqn_t014,-0.5666999999999821,5620.0,0.37735849056603776,COMPLETE,2026-05-13 09:16:23.806711,2026-05-13 09:18:19.621311
15,-3.6756133811199407,64,50000,0.9485875962663728,0.0018774356282529384,13000,1900,0.9985714285714286,8042.000000000025,-0.2651465184208018,73,optuna_ddqn_t015,-0.19579999999999753,1789.0,0.4117647058823529,COMPLETE,2026-05-13 09:18:19.634311,2026-05-13 09:19:49.903418
16,0.18684994596946777,32,85000,0.9725244073588943,0.004757899398059296,6500,1300,0.9988095238095238,10068.000000000011,-0.11495335908790948,40,optuna_ddqn_t016,0.006800000000001092,713.0,0.45,COMPLETE,2026-05-13 09:19:49.915432,2026-05-13 09:21:30.695152
17,-4.702707254772535,32,95000,0.9761679024693949,0.0015647161447440727,7000,1200,0.9988095238095238,8332.000000000025,-0.18809148264984135,52,optuna_ddqn_t017,-0.16679999999999745,1123.0,0.46875,COMPLETE,2026-05-13 09:21:30.829192,2026-05-13 09:23:09.467911
18,-99.35674779353393,32,95000,0.9806444227393342,2.2130642217344784e-05,13500,2400,0.8357738095238095,-124160.00000000033,-87.8859342197476,5522,optuna_ddqn_t018,-13.416000000000034,136083.0,0.06505135633394786,COMPLETE,2026-05-13 09:23:09.478940,2026-05-13 09:24:28.997620
19,0.0,32,40000,0.9412844587573967,0.0022716321641923242,6500,100,0.0,10000.0,0.0,0,optuna_ddqn_t019,0.0,0.0,0.0,COMPLETE,2026-05-13 09:24:29.011130,2026-05-13 09:26:10.258592
20,-0.7881355762581344,32,80000,0.9691970030786419,0.0009591415543563017,10000,1400,0.997202380952381,9638.999999999984,-0.17953254492969517,82,optuna_ddqn_t020,-0.03610000000000164,1538.0,0.5,COMPLETE,2026-05-13 09:26:10.272601,2026-05-13 09:27:43.592966
21,0.0,64,60000,0.9611162263534723,0.004532527190357081,3000,2000,0.0,10000.0,0.0,0,optuna_ddqn_t021,0.0,0.0,0.0,COMPLETE,2026-05-13 09:27:43.603962,2026-05-13 09:29:37.030399
22,-14.819425293963416,64,85000,0.9661114525088251,0.004949006081576776,500,1400,0.3341071428571429,5850.999999999984,-0.41988895498711154,238,optuna_ddqn_t022,-0.41490000000000166,4133.0,0.3445378151260504,COMPLETE,2026-05-13 09:29:37.133910,2026-05-13 09:31:34.339665
23,-6.275280870577888,64,40000,0.9556644418879686,0.0025688574194098284,5000,2200,0.0004166666666666667,9787.000000000025,-0.021299999999997453,12,optuna_ddqn_t023,-0.021299999999997453,210.0,0.16666666666666666,COMPLETE,2026-05-13 09:31:34.352668,2026-05-13 09:33:24.365612
24,-12.017329238011532,128,35000,0.986361873211274,0.0011302262870839226,7500,600,0.8078571428571428,6887.000000000036,-0.3007411919991821,146,optuna_ddqn_t024,-0.31129999999999636,2644.0,0.2894736842105263,COMPLETE,2026-05-13 09:33:24.377629,2026-05-13 09:35:16.616068
25,-2.772857703069364,32,70000,0.9393580991107744,0.002686318711931746,2000,1700,0.998452380952381,8949.999999999973,-0.1767163612192612,72,optuna_ddqn_t025,-0.10500000000000273,1612.0,0.45652173913043476,COMPLETE,2026-05-13 09:35:16.627047,2026-05-13 09:37:04.475291
26,-47.57678646240036,64,95000,0.9745870635264628,0.002897470904679082,9000,3400,0.9348214285714286,-11935.000000000273,-2.4142670932575188,939,optuna_ddqn_t026,-2.1935000000000273,21042.0,0.16554054054054054,COMPLETE,2026-05-13 09:37:04.489392,2026-05-13 09:38:42.594539
27,-15.942617822645143,64,175000,0.9518805477885854,0.0014590896034482406,11500,2600,0.7173214285714286,1802.999999999988,-0.7926394479585979,309,optuna_ddqn_t027,-0.8197000000000013,6870.0,0.25888324873096447,COMPLETE,2026-05-13 09:38:42.604540,2026-05-13 09:40:16.653097
28,-7.733427708551886,32,60000,0.9638875563973621,0.00034929064730113954,6000,1400,0.8394047619047619,7240.9999999999645,-0.29780837858805853,121,optuna_ddqn_t028,-0.27590000000000353,2689.0,0.36363636363636365,COMPLETE,2026-05-13 09:40:16.666097,2026-05-13 09:41:57.530753
29,-58.37982044737306,128,125000,0.9987495130196163,4.463371408022749e-05,15500,500,0.8463690476190476,-98050.99999999936,-38.65399385560602,4572,optuna_ddqn_t029,-10.805099999999936,108193.0,0.0713813615333774,COMPLETE,2026-05-13 09:41:57.544756,2026-05-13 09:43:23.705164
30,0.0,64,85000,0.9202700264144755,0.0049780943113524045,14500,1100,0.0,10000.0,0.0,0,optuna_ddqn_t030,0.0,0.0,0.0,COMPLETE,2026-05-13 09:43:23.716136,2026-05-13 09:44:51.942830
31,-0.1205862019935563,64,70000,0.9700776107978072,0.0032590506479935003,2000,500,0.99875,9955.000000000004,-0.1173089607085639,42,optuna_ddqn_t031,-0.004499999999999636,747.0,0.47619047619047616,COMPLETE,2026-05-13 09:44:51.965733,2026-05-13 09:46:46.005308
32,0.0,64,50000,0.9746585532672415,0.0034662109045120355,2000,100,0.0,10000.0,0.0,0,optuna_ddqn_t032,0.0,0.0,0.0,COMPLETE,2026-05-13 09:46:46.018311,2026-05-13 09:48:41.876002
33,-7.443470753070514,64,65000,0.987040071359975,0.0020626069851603403,4000,2100,0.9988095238095238,7210.000000000078,-0.3206444926034038,72,optuna_ddqn_t033,-0.2789999999999922,1853.0,0.36538461538461536,COMPLETE,2026-05-13 09:48:41.887007,2026-05-13 09:50:32.602793
34,0.5163614540637982,64,30000,0.9535820307073161,0.0007546972806936396,20000,1000,0.9944642857142857,10190.000000000011,-0.10666164138320855,44,optuna_ddqn_t034,0.019000000000001092,781.0,0.5,COMPLETE,2026-05-13 09:50:32.614776,2026-05-13 09:51:51.318693
35,-15.642184697232947,256,35000,0.9534997832007726,0.0006690304916549171,11500,900,0.93875,-4917.0000000001355,-1.6591152815013666,646,optuna_ddqn_t035,-1.4917000000000136,12931.0,0.18059299191374664,COMPLETE,2026-05-13 09:51:51.331701,2026-05-13 09:53:52.041949
36,-25.822756037131974,64,30000,0.9479511880727404,0.0001747280125912499,8500,2700,0.9475595238095238,-8983.999999999474,-2.163730569948089,837,optuna_ddqn_t036,-1.8983999999999477,18990.0,0.2867647058823529,COMPLETE,2026-05-13 09:53:52.053946,2026-05-13 09:55:28.619497
37,-7.338883822107905,32,10000,0.9419431604087556,0.001128639254356413,5000,1500,0.1675595238095238,7373.000000000009,-0.22836211407640353,152,optuna_ddqn_t037,-0.2626999999999991,2625.0,0.2236842105263158,COMPLETE,2026-05-13 09:55:28.631508,2026-05-13 09:57:16.107767
38,-67.71132378385612,256,45000,0.9622416173550579,0.00025858313062594685,11000,3000,0.8318452380952381,-107089.00000000071,-74.5501373626348,4980,optuna_ddqn_t038,-11.708900000000071,117128.0,0.06776556776556776,COMPLETE,2026-05-13 09:57:16.118767,2026-05-13 09:59:06.358175
39,-3.8655480104810103,128,20000,0.9567747843162706,0.0011759951992075103,19500,1200,0.9982738095238095,8200.000000000076,-0.18884162627361525,85,optuna_ddqn_t039,-0.17999999999999236,2154.0,0.4262295081967213,COMPLETE,2026-05-13 09:59:06.370178,2026-05-13 10:00:31.625472
40,-0.8757521355481078,64,110000,0.9813185909249249,0.0006644095417875883,20000,800,0.9973214285714286,9680.000000000013,-0.13391938651454707,83,optuna_ddqn_t040,-0.031999999999998724,1715.0,0.46938775510204084,COMPLETE,2026-05-13 10:00:31.636486,2026-05-13 10:01:45.776437
41,-5.006264050318309,64,85000,0.9663087746279118,0.003160044866090536,3000,400,0.5793452380952381,8400.999999999956,-0.15431850211395307,75,optuna_ddqn_t041,-0.15990000000000437,1406.0,0.375,COMPLETE,2026-05-13 10:01:45.788426,2026-05-13 10:03:42.896018
42,-0.6025813985665025,64,200000,0.9706303824420167,0.002074019244680053,1000,300,0.9983333333333333,9789.000000000002,-0.11834879757621451,54,optuna_ddqn_t042,-0.021099999999999817,957.0,0.48148148148148145,COMPLETE,2026-05-13 10:03:42.908984,2026-05-13 10:05:37.580237
43,0.0,64,55000,0.9598195514188615,0.004135704916844084,3500,1000,0.0,10000.0,0.0,0,optuna_ddqn_t043,0.0,0.0,0.0,COMPLETE,2026-05-13 10:05:37.591238,2026-05-13 10:07:29.848862
44,-5.145797672622679,64,70000,0.900540398962354,0.0037334622302067698,5500,1800,0.9986904761904762,8383.999999999922,-0.14805405954680276,59,optuna_ddqn_t044,-0.16160000000000782,1299.0,0.35135135135135137,COMPLETE,2026-05-13 10:07:29.860861,2026-05-13 10:09:16.888343
45,-13.074328428831853,64,120000,0.95206789610326,0.0016485308996230564,4500,2400,0.9985714285714286,3888.000000000016,-0.576239782016347,136,optuna_ddqn_t045,-0.6111999999999984,4057.0,0.2608695652173913,COMPLETE,2026-05-13 10:09:16.914351,2026-05-13 10:11:03.200735
46,-2.7799217435410917,256,25000,0.977431959498669,0.0027165411204683842,7500,1200,0.9969642857142857,8917.999999999887,-0.18835390558749726,81,optuna_ddqn_t046,-0.10820000000001127,1580.0,0.37777777777777777,COMPLETE,2026-05-13 10:11:03.212734,2026-05-13 10:13:11.721891
47,-43.6925705666296,32,105000,0.9440840899752816,0.0008901322725795354,18500,4300,0.8205357142857143,-6935.9999999999645,-1.8147539057911362,991,optuna_ddqn_t047,-1.6935999999999964,17938.0,0.20641282565130262,COMPLETE,2026-05-13 10:13:11.736894,2026-05-13 10:14:28.343639
48,-50.06596598067765,64,160000,0.9714473194614884,9.49655261500374e-05,1500,1600,0.9025,-63820.99999999955,-15.787071362372487,2952,optuna_ddqn_t048,-7.382099999999955,74167.0,0.08645533141210375,COMPLETE,2026-05-13 10:14:28.354156,2026-05-13 10:16:12.660873
49,-24.926643430220487,128,50000,0.9340471357226156,0.0004217448022734885,6500,700,0.11357142857142857,-16363.999999999463,-3.6148929370404654,1286,optuna_ddqn_t049,-2.6363999999999463,26297.0,0.11081794195250659,COMPLETE,2026-05-13 10:16:12.672874,2026-05-13 10:18:00.654699
