number,value,params_batch_size,params_eps_decay_steps,params_gamma,params_lr,params_min_buffer_to_learn,params_target_update_freq,user_attrs_exposure_time,user_attrs_final_equity,user_attrs_max_drawdown_pct,user_attrs_n_trades,user_attrs_run_id,user_attrs_total_return,user_attrs_total_transaction_cost,user_attrs_win_rate,state,datetime_start,datetime_complete
0,-21.69148161276551,256,150000,0.9941207163345817,0.0001025350969016849,12500,3000,0.9170238095238096,-45472.00000000034,-6.109787616586181,2329.0,optuna_expdecay_ddqn_t000,-5.547200000000034,55916.0,0.14357501794687724,COMPLETE,2026-05-15 05:34:49.169100,2026-05-15 05:39:10.615874
1,-24.218867798307393,256,195000,0.9020378649352845,0.000814829321010529,10500,4200,0.9912797619047619,-32826.99999999963,-4.39859198674808,1272.0,optuna_expdecay_ddqn_t001,-4.282699999999963,42948.0,0.16138059701492538,COMPLETE,2026-05-15 05:39:10.638382,2026-05-15 05:44:28.361881
2,,256,125000,0.9288316848796062,0.0001464895513280072,4000,700,,,,,,,,,FAIL,2026-05-15 05:44:28.377881,2026-05-15 05:45:04.463537
3,-21.69148161276551,256,150000,0.9941207163345817,0.0001025350969016849,12500,3000,0.9170238095238096,-45472.00000000034,-6.109787616586181,2329.0,optuna_expdecay_ddqn_t003,-5.547200000000034,55916.0,0.14357501794687724,COMPLETE,2026-05-15 05:45:26.057004,2026-05-15 05:57:40.636264
4,-24.218867798307393,256,195000,0.9020378649352845,0.000814829321010529,10500,4200,0.9912797619047619,-32826.99999999963,-4.39859198674808,1272.0,optuna_expdecay_ddqn_t004,-4.282699999999963,42948.0,0.16138059701492538,COMPLETE,2026-05-15 05:57:40.658270,2026-05-15 06:02:45.838286
5,-8.423238539000916,256,125000,0.9288316848796062,0.0001464895513280072,4000,700,0.9887797619047619,224.9999999999419,-0.9769514443761584,348.0,optuna_expdecay_ddqn_t005,-0.9775000000000058,9099.0,0.2576419213973799,COMPLETE,2026-05-15 06:02:45.859287,2026-05-15 06:07:56.441154
6,-59.067094292606406,256,15000,0.9586490423173422,0.0002442886696734996,16500,3100,0.6957738095238095,-154566.00000000058,-24.4190909090912,6799.0,optuna_expdecay_ddqn_t006,-16.45660000000006,164071.0,0.05909533073929961,COMPLETE,2026-05-15 06:07:56.479725,2026-05-15 06:12:11.931102
7,-14.480161880147353,256,140000,0.9096695392866321,6.639623079859457e-05,5500,2300,0.7472321428571429,-21607.999999999356,-3.3259418729816335,1465.0,optuna_expdecay_ddqn_t007,-3.1607999999999357,32183.0,0.1643835616438356,COMPLETE,2026-05-15 06:12:11.947106,2026-05-15 06:17:02.877372
8,-30.207903678938987,64,110000,0.9308593965328517,0.0006139426050898153,18000,2800,0.6968154761904762,-35424.000000000204,-4.874863268431437,2306.0,optuna_expdecay_ddqn_t008,-4.54240000000002,47854.0,0.18765638031693077,COMPLETE,2026-05-15 06:17:02.902377,2026-05-15 06:20:33.201431
9,-19.25544837375823,128,25000,0.9912655492672886,0.00041087915453240814,17000,1000,0.7273214285714286,-39205.000000000815,-5.14254015215565,2150.0,optuna_expdecay_ddqn_t009,-4.920500000000081,48941.0,0.16392092257001648,COMPLETE,2026-05-15 06:20:33.215427,2026-05-15 06:24:18.082170
10,-9.291903898346488,128,115000,0.9278125164590507,9.180504074572426e-05,4000,800,0.7195238095238096,-3578.000000000385,-1.3626228843620543,563.0,optuna_expdecay_ddqn_t010,-1.3578000000000385,11971.0,0.19933554817275748,COMPLETE,2026-05-15 06:24:18.094172,2026-05-15 06:28:43.258374
11,-33.79981067779573,32,55000,0.9612557943521,1.3794894983846767e-05,1000,100,0.8874404761904762,-175794.00000000017,-46.121663244357194,6951.0,optuna_expdecay_ddqn_t011,-18.579400000000017,187011.0,0.051862828111769683,COMPLETE,2026-05-15 06:28:43.478918,2026-05-15 06:32:54.053193
12,-22.095795233275922,128,90000,0.9322106397991572,2.9639604309753573e-05,4500,1200,0.8788392857142857,-54391.00000000008,-7.380175953079165,2868.0,optuna_expdecay_ddqn_t012,-6.439100000000008,65459.0,0.12968653964351567,COMPLETE,2026-05-15 06:32:54.072192,2026-05-15 06:37:29.290140
13,-20.95227666238835,128,100000,0.9289316080846967,4.654972944103585e-05,5500,200,0.8489285714285715,-39489.99999999974,-5.264578833693285,2268.0,optuna_expdecay_ddqn_t013,-4.948999999999974,48905.0,0.14472608340147178,COMPLETE,2026-05-15 06:37:29.310141,2026-05-15 06:42:07.458109
14,-4.335807479291494,32,125000,0.946980661924341,0.0024666336844640455,1000,1500,0.9869345238095238,3531.9999999998263,-0.6426909458776089,328.0,optuna_expdecay_ddqn_t014,-0.6468000000000174,7079.0,0.2804878048780488,COMPLETE,2026-05-15 06:42:07.478110,2026-05-15 06:47:05.117816
15,-1.6254379927529035,32,70000,0.9469539855838885,0.004523375329411669,500,1800,0.9986011904761904,8788.00000000008,-0.26188861985471545,87.0,optuna_expdecay_ddqn_t015,-0.121199999999992,1736.0,0.4772727272727273,COMPLETE,2026-05-15 06:47:05.142819,2026-05-15 06:51:56.054236
16,-1.7274693881664187,32,70000,0.9496217350407228,0.0049802282257615385,500,1900,0.9988095238095238,8724.000000000082,-0.27806295399515313,80.0,optuna_expdecay_ddqn_t016,-0.1275999999999918,1580.0,0.475,COMPLETE,2026-05-15 06:51:56.075236,2026-05-15 06:56:57.753668
17,-8.801415187381654,32,50000,0.9753745638235809,0.004620675072297456,500,1900,0.9986011904761904,3599.0000000002265,-0.6448939319190699,211.0,optuna_expdecay_ddqn_t017,-0.6400999999999774,6578.0,0.2804878048780488,COMPLETE,2026-05-15 06:56:57.773681,2026-05-15 07:01:39.530110
18,-1.7274693881664187,32,70000,0.9486816127415892,0.001951832441195816,7500,2100,0.9988095238095238,8724.000000000082,-0.27806295399515313,80.0,optuna_expdecay_ddqn_t018,-0.1275999999999918,1580.0,0.475,COMPLETE,2026-05-15 07:01:39.548107,2026-05-15 07:05:48.696370
19,0.0,32,80000,0.9722336434303289,0.0036235551642241387,2500,4900,0.0,10000.0,0.0,0.0,optuna_expdecay_ddqn_t019,0.0,0.0,0.0,COMPLETE,2026-05-15 07:05:48.721369,2026-05-15 07:10:44.704645
20,-3.9595484012499758,64,45000,0.9760447832560389,0.0016618182848430851,7500,4900,0.9935119047619048,1352.999999999961,-0.8662779205376586,328.0,optuna_expdecay_ddqn_t020,-0.864700000000004,7787.0,0.10982658959537572,COMPLETE,2026-05-15 07:10:44.723167,2026-05-15 07:15:14.839024
21,0.0,32,80000,0.978380211667491,0.0028542132225401386,2500,3900,0.0,10000.0,0.0,0.0,optuna_expdecay_ddqn_t021,0.0,0.0,0.0,COMPLETE,2026-05-15 07:15:14.862024,2026-05-15 07:20:03.513467
22,-2.6021103581470624,32,80000,0.9764121620751691,0.002899193641480948,2500,4900,0.9987797619047619,8081.999999999913,-0.2513894034827762,82.0,optuna_expdecay_ddqn_t022,-0.19180000000000874,1620.0,0.34146341463414637,COMPLETE,2026-05-15 07:20:03.535986,2026-05-15 07:25:04.899339
23,-18.61698691243827,32,40000,0.9661114525088251,0.001157220032640646,7000,3800,0.8996428571428572,-11226.999999999938,-2.1958883681295203,1025.0,optuna_expdecay_ddqn_t023,-2.122699999999994,20827.0,0.28598848368522073,COMPLETE,2026-05-15 07:25:04.920343,2026-05-15 07:29:14.976457
24,-2.5419556372089707,32,90000,0.984942303033841,0.0031733740494492286,2500,3600,2.9761904761904762e-05,9970.000000000007,-0.0029999999999992723,2.0,optuna_expdecay_ddqn_t024,-0.0029999999999992723,38.0,0.0,COMPLETE,2026-05-15 07:29:14.997458,2026-05-15 07:33:54.509321
25,-7.115377858219959,32,70000,0.9406118218363417,0.001511589712355716,3000,4500,0.8775595238095238,1668.9999999999827,-0.83545351122143,432.0,optuna_expdecay_ddqn_t025,-0.8331000000000018,9305.0,0.3436123348017621,COMPLETE,2026-05-15 07:33:54.529316,2026-05-15 07:38:39.164133
26,-4.039057581231106,32,30000,0.968272667605748,0.003490486745937129,2500,3500,0.998452380952381,7074.999999999838,-0.33191690273843916,118.0,optuna_expdecay_ddqn_t026,-0.2925000000000162,2670.0,0.2647058823529412,COMPLETE,2026-05-15 07:38:39.185134,2026-05-15 07:43:42.017762
27,-18.520084777952885,64,65000,0.9815931633224148,0.0003644072474287135,9000,4400,0.8149107142857143,-30302.999999999836,-4.281321061180259,1789.0,optuna_expdecay_ddqn_t027,-4.030299999999984,39894.0,0.1206896551724138,COMPLETE,2026-05-15 07:43:42.037762,2026-05-15 07:47:45.027770
28,-0.9969609182258103,32,90000,0.9553075613463002,0.0013062905930952176,5500,2600,0.0019047619047619048,9923.000000000015,-0.013029639944300935,10.0,optuna_expdecay_ddqn_t028,-0.007699999999998545,198.0,0.2,COMPLETE,2026-05-15 07:47:45.047774,2026-05-15 07:52:07.855715
29,-14.720454053646163,32,95000,0.9675383461031365,0.0011612188502761332,6000,3900,0.9931547619047619,-3845.9999999999895,-1.3996259351620948,494.0,optuna_expdecay_ddqn_t029,-1.384599999999999,14143.0,0.2222222222222222,COMPLETE,2026-05-15 07:52:07.876714,2026-05-15 07:56:48.305445
30,-9.250384800526646,32,165000,0.9987495130196163,0.0021911055120504,8500,5000,0.9972916666666667,3309.0000000000787,-0.7205839130008735,261.0,optuna_expdecay_ddqn_t030,-0.6690999999999921,7171.0,0.25,COMPLETE,2026-05-15 07:56:48.327969,2026-05-15 08:01:35.127231
31,-8.445431117124974,32,85000,0.9585795221401434,0.0005263806871509491,14500,3300,0.042648809523809526,6757.999999999983,-0.32087227414330355,123.0,optuna_expdecay_ddqn_t031,-0.3242000000000017,2460.0,0.14516129032258066,COMPLETE,2026-05-15 08:01:35.148227,2026-05-15 08:05:23.353652
32,0.0,32,80000,0.9537938240710984,0.004653336737976933,2000,2600,0.0,10000.0,0.0,0.0,optuna_expdecay_ddqn_t032,0.0,0.0,0.0,COMPLETE,2026-05-15 08:05:23.374651,2026-05-15 08:10:05.325289
33,-3.4917111406318413,32,110000,0.9557248117018872,0.001131022751416194,3500,2600,0.9916964285714286,6758.99999999988,-0.3619371282922787,129.0,optuna_expdecay_ddqn_t033,-0.324100000000012,2572.0,0.36923076923076925,COMPLETE,2026-05-15 08:10:05.349288,2026-05-15 08:14:31.103562
34,-2.636676477109962,32,80000,0.9712147978176753,0.0035728316019840076,2000,2400,0.99875,8054.999999999931,-0.25375208449138786,84.0,optuna_expdecay_ddqn_t034,-0.19450000000000692,1660.0,0.3333333333333333,COMPLETE,2026-05-15 08:14:31.123561,2026-05-15 08:19:09.138268
35,-9.442737026566794,32,60000,0.9822573787248076,0.0023138911943617435,20000,4600,0.9929166666666667,5215.999999999891,-0.4666666666666782,196.0,optuna_expdecay_ddqn_t035,-0.4784000000000109,3900.0,0.22448979591836735,COMPLETE,2026-05-15 08:19:09.152271,2026-05-15 08:22:25.644007
36,-14.25273717065609,64,100000,0.9539989282542711,0.0007762431307912185,5000,2800,0.3863988095238095,-7500.000000000142,-1.7703368940016584,844.0,optuna_expdecay_ddqn_t036,-1.7500000000000142,17760.0,0.2556053811659193,COMPLETE,2026-05-15 08:22:25.666005,2026-05-15 08:26:29.156981
37,-15.822811182420228,32,130000,0.939037843838615,0.0013672181615656401,12500,4100,0.8890476190476191,-10784.00000000042,-2.067828497871119,1022.0,optuna_expdecay_ddqn_t037,-2.078400000000042,20335.0,0.18003913894324852,COMPLETE,2026-05-15 08:26:29.177499,2026-05-15 08:30:27.332415
38,-5.839558990246414,256,170000,0.9623146863845864,0.0029564831466048014,2000,3100,0.9750892857142858,5425.0000000000255,-0.5152234084618401,253.0,optuna_expdecay_ddqn_t038,-0.45749999999999746,5057.0,0.33070866141732286,COMPLETE,2026-05-15 08:30:27.354412,2026-05-15 08:36:08.293980
39,-8.130046136221829,32,80000,0.920771997704942,0.00022309840089248744,6500,3300,0.979077380952381,2362.000000000265,-0.7789366053169476,432.0,optuna_expdecay_ddqn_t039,-0.7637999999999734,10014.0,0.40476190476190477,COMPLETE,2026-05-15 08:36:08.313980,2026-05-15 08:39:58.895600
40,-15.518397992989936,256,115000,0.9870816130189322,0.0008263279135245294,4000,2700,0.9676488095238095,-20235.0000000002,-3.082432849644979,1339.0,optuna_expdecay_ddqn_t040,-3.02350000000002,33224.0,0.18585131894484413,COMPLETE,2026-05-15 08:39:58.920125,2026-05-15 08:45:17.369219
41,-3.197756072921069,32,145000,0.97251526552523,0.002061578648376545,11500,2300,0.9988095238095238,7590.0000000001955,-0.35418886198545535,100.0,optuna_expdecay_ddqn_t041,-0.24099999999998045,2352.0,0.4,COMPLETE,2026-05-15 08:45:17.388736,2026-05-15 08:49:14.899636
42,-19.748129898832563,32,75000,0.9419242495986987,0.004192124145653315,1500,1800,0.8191964285714286,-13821.999999999694,-2.4015412695193294,1040.0,optuna_expdecay_ddqn_t042,-2.3821999999999695,20937.0,0.16153846153846155,COMPLETE,2026-05-15 08:49:14.921154,2026-05-15 08:54:10.306137
43,-12.97959581521561,32,55000,0.9550060510259297,0.0038232235805721543,3500,1700,0.0009226190476190477,8616.999999999933,-0.13431786216596941,60.0,optuna_expdecay_ddqn_t043,-0.13830000000000672,1183.0,0.06666666666666667,COMPLETE,2026-05-15 08:54:10.329136,2026-05-15 08:59:32.364788
44,-1.7274693881664187,32,90000,0.9365394207744936,0.004890843131952976,1500,1400,0.9988095238095238,8724.000000000082,-0.27806295399515313,80.0,optuna_expdecay_ddqn_t044,-0.1275999999999918,1580.0,0.475,COMPLETE,2026-05-15 08:59:32.391805,2026-05-15 09:06:56.606347
45,-3.7259268116633195,128,35000,0.9445466774615645,0.0026495967734920796,4500,2200,0.6374702380952381,7354.999999999994,-0.2976508785332322,102.0,optuna_expdecay_ddqn_t045,-0.2645000000000006,2051.0,0.34615384615384615,COMPLETE,2026-05-15 09:06:56.627358,2026-05-15 09:14:44.829595
46,-4.236319648265557,32,60000,0.9522790282574957,0.0017314377587412267,500,2900,0.9970833333333333,6492.999999999934,-0.383673469387759,141.0,optuna_expdecay_ddqn_t046,-0.3507000000000066,3602.0,0.32222222222222224,COMPLETE,2026-05-15 09:14:44.851538,2026-05-15 09:21:22.647260
47,-2.5352576244058147,64,105000,0.9609383778489315,0.003309805853186847,5000,4100,0.998452380952381,7988.999999999962,-0.27654698242934245,144.0,optuna_expdecay_ddqn_t047,-0.20110000000000383,3944.0,0.43434343434343436,COMPLETE,2026-05-15 09:21:22.670256,2026-05-15 09:28:11.372540
48,-1.674082056796353,256,20000,0.9230323714146287,0.004865683052296407,3000,400,0.9942559523809524,8790.99999999999,-0.2080180180180165,83.0,optuna_expdecay_ddqn_t048,-0.12090000000000091,1672.0,0.35714285714285715,COMPLETE,2026-05-15 09:28:11.397540,2026-05-15 09:37:30.933925
49,-23.74729684201554,128,95000,0.990987742517182,0.0024751181289285966,1500,2500,0.6136904761904762,-21417.00000000006,-3.1705685618729174,1400.0,optuna_expdecay_ddqn_t049,-3.141700000000006,28097.0,0.1111111111111111,COMPLETE,2026-05-15 09:37:30.956931,2026-05-15 09:45:37.894292
50,-2.1795612201349264,32,200000,0.9631569608163982,0.0009622342845098419,4000,1500,0.9955952380952381,8381.999999999944,-0.17791290702236226,117.0,optuna_expdecay_ddqn_t050,-0.16180000000000563,2443.0,0.45901639344262296,COMPLETE,2026-05-15 09:45:37.925293,2026-05-15 09:51:24.381601
51,-6.845177006849064,32,120000,0.93533503343545,0.000133849731164123,500,4700,0.9177380952380952,-5686.000000000002,-1.5892838636128133,617.0,optuna_expdecay_ddqn_t051,-1.5686000000000002,15632.0,0.17066666666666666,COMPLETE,2026-05-15 09:51:24.416606,2026-05-15 09:56:44.406600
52,-2.455914506332037,256,25000,0.9201810284416696,0.00475577458257149,3000,600,0.44952380952380955,8703.999999999993,-0.1674796747967469,112.0,optuna_expdecay_ddqn_t052,-0.12960000000000071,2227.0,0.4642857142857143,COMPLETE,2026-05-15 09:56:44.433599,2026-05-15 10:05:57.807952
