#{"t_start": 1778606889.8628683, "env_id": "None"}
r,l,t
-1.0008,724,2.379319
-0.97,840,4.699883
-0.6983,840,7.018216
-0.6567,840,9.38305
-0.5059,840,12.01239
-0.4345,840,14.235883
-0.3883,840,16.458612
-0.4441,840,18.897888
-0.5818,840,21.264609
-0.5638,840,23.680707
-0.4953,840,25.994382
-0.5594,840,28.278088
-0.3434,840,44.198924
-0.3363,840,46.421152
-0.2908,840,48.806973
-0.3181,840,50.890412
-0.2848,840,53.393047
-0.2138,840,56.012539
-0.2307,840,58.20751
-0.214,840,60.518977
-0.2433,840,62.74478
-0.2312,840,65.314272
-0.2178,840,67.68092
-0.1917,840,83.085867
-0.2306,840,85.336201
-0.1957,840,87.721127
-0.168,840,90.122912
-0.184,840,92.548582
-0.1816,840,94.860159
-0.241,840,97.185471
-0.235,840,99.907733
-0.1987,840,102.176039
-0.2002,840,104.906223
-0.1287,840,106.960126
-0.2066,840,109.58378
-0.1721,840,125.146297
-0.1733,840,127.166154
-0.1849,840,129.548396
-0.1721,840,132.104518
-0.1158,840,134.32848
-0.1652,840,136.674676
-0.1418,840,138.945307
-0.1372,840,141.349507
-0.1773,840,143.557021
-0.1453,840,146.039429
-0.1325,840,148.152779
-0.1347,840,150.733641
-0.1658,840,165.735836
-0.1371,840,167.979738
-0.1505,840,170.79546
-0.1775,840,173.299847
-0.1071,840,175.504741
-0.0967,840,177.921324
-0.1446,840,180.15381
-0.136,840,182.528617
-0.1392,840,184.743256
-0.0943,840,187.428988
-0.1177,840,189.694066
-0.063,840,192.034051
-0.0426,840,206.838758
-0.0412,840,209.214757
-0.0751,840,211.40547
-0.0204,840,213.620596
-0.0315,840,215.98745
0.0124,840,218.618808
-0.011,840,221.091156
-0.0168,840,223.385621
-0.0311,840,225.655413
-0.0617,840,228.148784
-0.0581,840,230.529965
0.0148,840,232.853523
-0.0253,840,247.921959
0.0086,840,250.348521
-0.031,840,252.721189
-0.0519,840,255.040058
-0.0097,840,257.351515
-0.0488,840,259.813118
0.0543,840,262.419653
0.0266,840,264.766243
0.0266,840,266.950534
-0.0222,840,269.391637
-0.0189,840,271.667935
-0.0723,840,274.095171
-0.0358,840,288.854317
-0.0265,840,291.17743
-0.0041,840,293.310323
-0.1298,840,295.738543
-0.0491,840,298.143618
-0.0477,840,300.679699
-0.0581,840,302.983815
-0.0417,840,305.422149
0.0018,840,307.701187
-0.0063,840,310.058642
-0.0483,840,312.531264
-0.0123,840,314.689226
0.0,840,329.557042
-0.0341,840,332.175542
0.0563,840,334.497775
-0.0152,840,337.182841
-0.0115,840,339.2839
-0.0058,840,341.816293
0.0196,840,344.180072
-0.0151,840,346.412727
0.0118,840,348.724858
-0.023,840,351.033901
0.0554,840,353.223344
-0.0219,840,355.372067
-0.0053,840,369.911526
-0.0324,840,372.524642
-0.0956,840,374.763709
-0.0724,840,377.25844
-0.058,840,379.341818
-0.0463,840,381.815383
-0.0261,840,383.974451
-0.0645,840,386.254924
-0.0119,840,388.518728
0.0353,840,391.069591
-0.0151,840,393.175395
0.0064,840,395.511839
-0.0068,840,410.389956
-0.0737,840,412.777599
-0.0164,840,414.894994
-0.0291,840,417.260287
-0.0543,840,419.498075
-0.0379,840,421.820322
0.0061,840,424.103092
-0.0058,840,426.606062
-0.0117,840,428.641609
0.0721,840,431.278947
-0.0379,840,433.686121
-0.0344,840,435.973489
0.0058,840,450.990365
-0.0444,840,452.414642
-0.0501,840,453.794951
0.003,840,455.082224
0.0366,840,456.422489
-0.0083,840,457.786291
-0.031,840,459.019539
0.0274,840,460.29235
-0.0156,840,461.542572
-0.0059,840,462.827333
-0.0816,840,463.899061
-0.0393,840,470.969881
-0.0595,840,471.890553
-0.0084,840,472.824233
0.0274,840,473.718953
0.0297,840,474.633639
-0.0291,840,475.557843
0.0072,840,476.523546
-0.0647,840,477.459761
0.002,840,478.473979
-0.0887,840,479.506206
-0.0158,840,480.414929
0.0372,840,481.315613
0.011,840,487.674917
-0.0476,840,488.647615
-0.0288,840,489.66795
-0.0164,840,490.726114
-0.0154,840,491.694316
-0.0084,840,492.74651
-0.0208,840,493.725713
0.0134,840,494.735891
-0.0385,840,495.77665
0.0112,840,496.882399
-0.0241,840,497.941618
-0.0507,840,499.09733
-0.0429,840,505.201477
-0.0018,840,506.218675
0.0002,840,507.300307
-0.0051,840,508.283524
0.0659,840,509.252251
-0.0081,840,510.248198
0.0504,840,511.195347
-0.0287,840,512.095033
0.004,840,513.188756
-0.0267,840,514.134454
0.0136,840,515.106617
-0.0356,840,516.32988
0.012,840,523.870708
-0.0778,840,525.008409
0.002,840,526.117109
-0.0222,840,527.172859
-0.0342,840,528.483626
-0.031,840,529.69786
0.0547,840,531.218673
0.0021,840,532.248853
-0.0527,840,533.207011
-0.0038,840,534.374775
-0.0185,840,535.349453
-0.0539,840,536.39419
-0.0034,840,542.86973
0.0161,840,543.885962
-0.0203,840,544.857632
-0.0072,840,545.871322
0.0266,840,546.881492
-0.0314,840,547.923684
-0.0393,840,548.996411
-0.0124,840,550.122167
0.026,840,551.160365
-0.0167,840,552.328625
0.0108,840,553.322835
-0.026,840,554.341037
-0.0115,840,561.035093
-0.0221,840,562.005299
-0.0152,840,562.959981
-0.0042,840,563.967197
-0.0631,840,564.945408
-0.0058,840,565.975107
0.0054,840,566.904799
-0.0175,840,567.852486
-0.0035,840,568.787661
-0.1294,840,569.764371
-0.018,840,570.719529
-0.105,840,571.754694
0.0672,840,578.558437
0.0131,840,579.683745
-0.0291,840,580.811447
-0.0241,840,581.809628
-0.0393,840,582.835812
-0.0626,840,583.857034
-0.0014,840,584.891753
-0.0143,840,585.877975
-0.0341,840,587.058702
-0.0203,840,588.305472
-0.0241,840,589.351368
0.046,840,590.484605
0.0402,840,602.555649
-0.0038,840,603.492821
-0.0054,840,604.447514
-0.0589,840,605.493235
-0.0152,840,606.537434
-0.0275,840,607.615171
0.0366,840,608.702888
-0.0082,840,609.701183
-0.0325,840,610.745365
-0.0083,840,611.687069
-0.0124,840,612.533745
0.0352,840,613.424448
