#{"t_start": 1778608321.8731446, "env_id": "None"}
r,l,t
-1.0019,630,0.400078
-1.0015,627,0.822172
-1.0016,622,1.218255
-1.001,667,2.501697
-1.0012,670,2.886284
-1.0022,691,3.480905
-1.0028,665,5.011145
-1.0012,703,5.448217
-1.003,620,5.829296
-1.003,727,7.288589
-1.0031,716,7.776175
-1.0002,707,8.178248
-1.002,754,9.657033
-1.001,772,10.090647
-1.0005,804,18.151887
-0.9779,840,18.811534
-0.9753,840,19.558175
-0.9643,840,21.660138
-0.8947,840,22.16071
-0.9044,840,24.223653
-0.7546,840,24.949303
-0.8681,840,25.464885
-0.7003,840,27.386548
-0.7388,840,27.90918
-0.6051,840,29.687561
-0.6401,840,30.307208
-0.6365,840,37.052007
-0.4424,840,38.830364
-0.6247,840,39.515999
-0.5298,840,41.236849
-0.435,840,41.825999
-0.4645,840,43.301782
-0.3536,840,43.823377
-0.6578,840,44.309952
-0.4063,840,45.868355
-0.1878,840,46.414471
-0.3905,840,48.306998
-0.277,840,48.984145
-0.1901,840,57.68402
-0.3377,840,59.268285
-0.3077,840,59.8104
-0.1556,840,61.170099
-0.1947,840,61.712746
-0.1768,840,62.229353
-0.1981,840,63.5421
-0.2252,840,64.065693
-0.2352,840,65.545473
-0.1859,840,66.069082
-0.1624,840,67.466385
-0.1158,840,67.957999
-0.1405,840,74.031805
-0.1731,840,75.452097
-0.0424,840,76.089208
-0.1404,840,77.66639
-0.0805,840,78.285501
-0.1396,840,78.944152
-0.089,840,80.443931
-0.1522,840,81.195577
-0.0616,840,82.755899
-0.0192,840,83.27652
-0.1325,840,83.783114
-0.1317,840,85.227892
-0.093,840,91.427192
-0.1107,840,92.918524
-0.0272,840,93.39061
-0.0137,840,93.91271
-0.0464,840,95.259432
-0.0171,840,95.771025
-0.0915,840,97.178792
-0.0975,840,97.665403
-0.0169,840,99.144208
-0.0836,840,99.588278
-0.0204,840,100.049883
-0.0716,840,101.54861
-0.0666,840,107.866855
-0.0548,840,109.648219
-0.132,840,110.23636
-0.0011,840,110.725725
0.02,840,112.156517
-0.0006,840,112.63913
-0.0971,840,114.293464
-0.084,840,114.788042
-0.0764,840,115.385185
-0.0998,840,116.884999
