#{"t_start": 1778608321.8731446, "env_id": "None"}
r,l,t
-0.0705,840,117.520689
-0.0505,840,126.043626
-0.0594,840,126.502754
-0.07,840,128.067745
-0.0719,840,128.90891
-0.0146,840,129.698063
-0.0502,840,131.519788
-0.0656,840,132.026401
-0.0334,840,133.518202
-0.0717,840,134.085815
-0.0851,840,134.636966
-0.0679,840,136.15576
-0.0602,840,136.79287
0.0006,840,144.797005
-0.031,840,145.54919
-0.0159,840,146.195309
-0.0413,840,147.727675
-0.0474,840,148.26182
0.0218,840,149.952132
-0.0256,840,150.592252
-0.021,840,151.131346
0.0595,840,152.796663
-0.0879,840,153.368798
-0.0212,840,154.946092
-0.0611,840,155.497679
-0.1014,840,162.485308
-0.0445,840,162.959933
-0.0525,840,163.504043
-0.0143,840,165.044386
-0.0527,840,165.646506
0.0264,840,167.283322
-0.0684,840,167.840457
0.0019,840,168.466578
-0.0334,840,170.625294
0.0112,840,171.385935
-0.0396,840,173.040783
-0.0557,840,173.563365
-0.0887,840,180.747431
-0.0684,840,182.387366
-0.05,840,182.89696
-0.0171,840,184.378705
-0.054,840,184.9073
-0.0478,840,186.416069
-0.0559,840,186.901646
-0.0315,840,187.371294
-0.028,840,188.848065
-0.0036,840,189.451166
-0.065,840,191.163003
-0.0816,840,191.774117
-0.0441,840,198.653015
-0.0183,840,200.189808
-0.0286,840,200.718397
-0.033,840,202.260682
-0.0383,840,202.847801
-0.0267,840,203.463916
-0.0502,840,205.239258
-0.0217,840,205.73985
0.0255,840,207.275648
-0.0851,840,207.838766
-0.0413,840,208.375349
-0.0573,840,209.820151
-0.0226,840,215.987012
-0.0516,840,217.590957
-0.038,840,218.270602
-0.0966,840,220.086993
-0.0466,840,220.617593
-0.0581,840,221.595834
-0.0065,840,223.620239
-0.0183,840,224.308873
0.0282,840,226.478743
-0.0145,840,227.286957
-0.043,840,228.101119
-0.0446,840,230.236565
-0.0385,840,240.988593
-0.0753,840,242.759586
-0.0426,840,243.394368
-0.0707,840,243.98325
0.0313,840,246.088292
-0.04,840,246.864727
0.0141,840,248.863878
-0.104,840,249.390383
-0.0646,840,249.978581
-0.0277,840,251.759334
-0.0582,840,252.283858
-0.0249,840,253.816608
-0.0754,840,261.223685
0.0547,840,263.393478
-0.0547,840,264.142532
-0.0654,840,264.837502
-0.041,840,266.850737
0.0017,840,267.624992
-0.0014,840,269.721419
-0.095,840,270.330038
-0.0225,840,270.915646
-0.0606,840,273.868487
-0.0699,840,275.165561
-0.017,840,278.923924
-0.0104,840,289.165406
-0.053,840,289.747506
-0.0526,840,291.44499
-0.1116,840,292.110118
-0.0353,840,294.358137
-0.0495,840,295.171394
-0.0075,840,296.995738
-0.0323,840,297.677431
-0.0429,840,298.198023
-0.0156,840,299.729801
-0.0272,840,300.37842
-0.0204,840,302.559919
-0.0021,840,309.594022
-0.034,840,310.42019
-0.0179,840,313.970364
-0.0271,840,315.214379
-0.0098,840,318.524508
-0.0895,840,320.085691
-0.0851,840,321.439909
-0.036,840,323.536866
-0.073,840,324.143
-0.0313,840,325.760286
-0.02,840,326.327404
-0.0138,840,327.333427
-0.0304,840,338.46618
0.0117,840,339.488362
-0.0477,840,342.412941
-0.0535,840,342.941519
-0.0263,840,344.267795
-0.0566,840,344.733876
-0.0469,840,345.189505
-0.061,840,347.164979
0.0137,840,347.990127
-0.16,840,349.846946
-0.0364,840,350.485222
-0.0311,840,359.392032
-0.0138,840,361.613436
-0.0144,840,362.519205
0.0159,840,364.642128
-0.0373,840,365.22927
0.0007,840,365.854376
0.0,840,367.504243
0.0093,840,368.17687
-0.0048,840,369.669642
-0.0129,840,370.245249
-0.0246,840,372.048385
-0.0131,840,372.635501
-0.0123,840,380.576354
0.0127,840,382.427762
-0.0149,840,383.122434
-0.0627,840,385.156862
-0.0536,840,385.867502
-0.0563,840,386.488133
-0.0143,840,387.98378
-0.0181,840,388.561378
-0.0153,840,390.637319
-0.0814,840,391.261435
-0.0345,840,392.007605
-0.0121,840,393.767447
-0.029,840,400.629165
